invoice_id	vendor_id	vendor_name	po_number	invoice_date	due_date	invoice_amount	currency	status	hold_code	gr_posted	payment_date
INV-1022	V009	Rockwell Automation	PO-5022	27-02-2024	28-03-2024	5400	USD	PAID		YES	26-03-2024
INV-1023	V001	Siemens AG	PO-5023	01-03-2024	31-03-2024	21000	EUR	OVERDUE		YES	
INV-1024	V010	Yokogawa Electric	PO-5024	04-03-2024	03-04-2024	4700	USD	PAID		YES	01-04-2024
INV-1025	V004	Honeywell Inc	PO-5025	06-03-2024	05-04-2024	13600	USD	HOLD	QTY_MISMATCH	YES	
INV-1026	V005	Schneider Electric	PO-5026	08-03-2024	07-04-2024	27500	EUR	PAID		YES	05-04-2024
INV-1027	V006	Emerson Electric	PO-5027	11-03-2024	10-04-2024	6800	USD	HOLD	PRICE_VARIANCE	YES	
INV-1028	V002	Bosch GmbH	PO-5028	13-03-2024	12-04-2024	10200	EUR	PAID		YES	10-04-2024
INV-1029	V007	Parker Hannifin	PO-5029	15-03-2024	14-04-2024	8900	USD	OVERDUE		YES	
INV-1030	V008	Danfoss A/S	PO-5030	18-03-2024	17-04-2024	4300	EUR	PAID		YES	15-04-2024
INV-1031	V009	Rockwell Automation	PO-5031	20-03-2024	19-04-2024	6100	USD	HOLD	MISSING_GR	NO	
INV-1032	V010	Yokogawa Electric	PO-5032	22-03-2024	21-04-2024	5900	USD	PAID		YES	19-04-2024
INV-1033	V001	Siemens AG	PO-5033	25-03-2024	24-04-2024	16500	EUR	HOLD	PRICE_VARIANCE	YES	
INV-1034	V003	ABB Ltd	PO-5034	27-03-2024	26-04-2024	9400	USD	PAID		YES	24-04-2024
INV-1035	V004	Honeywell Inc	PO-5035	29-03-2024	28-04-2024	7200	USD	HOLD	DUPLICATE		
INV-1036	V005	Schneider Electric	PO-5036	01-04-2024	01-05-2024	31000	EUR	PAID		YES	29-04-2024
INV-1037	V006	Emerson Electric	PO-5037	03-04-2024	03-05-2024	5500	USD	OVERDUE		YES	
INV-1038	V002	Bosch GmbH	PO-5038	05-04-2024	05-05-2024	11800	EUR	PAID		YES	03-05-2024
INV-1039	V007	Parker Hannifin	PO-5039	08-04-2024	08-05-2024	7700	USD	HOLD	QTY_MISMATCH	YES	
INV-1040	V008	Danfoss A/S	PO-5040	10-04-2024	10-05-2024	3600	EUR	PAID		YES	08-05-2024
INV-1041	V009	Rockwell Automation	PO-5041	12-04-2024	12-05-2024	8800	USD	HOLD	PO_NOT_FOUND	NO	
INV-1042	V010	Yokogawa Electric	PO-5042	15-04-2024	15-05-2024	6600	USD	PAID		YES	13-05-2024
INV-1043	V001	Siemens AG	PO-5043	17-04-2024	17-05-2024	19500	EUR	PAID		YES	15-05-2024
INV-1044	V003	ABB Ltd	PO-5044	20-04-2024	20-05-2024	10800	USD	HOLD	MISSING_GR	NO	
INV-1045	V004	Honeywell Inc	PO-5045	22-04-2024	22-05-2024	5100	USD	PAID		YES	20-05-2024
INV-1046	V005	Schneider Electric	PO-5046	24-04-2024	24-05-2024	24000	EUR	OVERDUE		YES	
INV-1047	V006	Emerson Electric	PO-5047	26-04-2024	26-05-2024	7300	USD	PAID		YES	24-05-2024
INV-1048	V002	Bosch GmbH	PO-5048	28-04-2024	28-05-2024	13400	EUR	HOLD	PRICE_VARIANCE	YES	
INV-1049	V007	Parker Hannifin	PO-5049	30-04-2024	30-05-2024	9600	USD	PAID		YES	28-05-2024
INV-1050	V008	Danfoss A/S	PO-5050	02-05-2024	01-06-2024	4800	EUR	HOLD	QTY_MISMATCH	YES	
